file_path,invoice_id,description,quantity,unit_price,total,invoice_number
Copy of ARPFIINVOEBTCHLASER (10)-page1.jpg,inv_00001,flour power,8,24.063,192.5,375991
Copy of ARPFIINVOEBTCHLASER (10)-page1.jpg,inv_00001,flour a p unbleached,1,21.582,21.58,375991
Copy of ARPFIINVOEBTCHLASER (10)-page1.jpg,inv_00001,flour medium rye,1,42.8,42.8,375991
Copy of ARPFIINVOEBTCHLASER (10)-page1.jpg,inv_00001,cornmeal yellow fine,1,25.861,25.86,375991
Copy of ARPFIINVOEBTCHLASER (10)-page1.jpg,inv_00001,yeast fresh,1,54.62,54.62,375991
Copy of ARPFIINVOEBTCHLASER (10)-page1.jpg,inv_00001,salt kosher coarse,1,71.658,71.66,375991
Copy of ARPFIINVOEBTCHLASER (10)-page1.jpg,inv_00001,glove nitrile,1,29.77,29.77,375991
Copy of ARPFIINVOEBTCHLASER (10)-page1.jpg,inv_00001,eggs liquid,1,18,18,375991
Copy of ARPFIINVOEBTCHLASER (10)-page1.pdf,inv_00002,flour power,8,24.063,192.5,375991
Copy of ARPFIINVOEBTCHLASER (10)-page1.pdf,inv_00002,flour a p unbleached,1,21.582,21.58,375991
Copy of ARPFIINVOEBTCHLASER (10)-page1.pdf,inv_00002,flour medium rye,1,42.8,42.8,375991
Copy of ARPFIINVOEBTCHLASER (10)-page1.pdf,inv_00002,cornmeal yellow fine,1,25.861,25.86,375991
Copy of ARPFIINVOEBTCHLASER (10)-page1.pdf,inv_00002,yeast fresh,1,54.62,54.62,375991
Copy of ARPFIINVOEBTCHLASER (10)-page1.pdf,inv_00002,salt kosher coarse,1,71.658,71.66,375991
Copy of ARPFIINVOEBTCHLASER (10)-page1.pdf,inv_00002,glove nitrile,1,29.774,29.77,375991
Copy of ARPFIINVOEBTCHLASER (10)-page1.pdf,inv_00002,eggs liquid,0.5,100.35,50.18,375991
Copy of ARPFIINVOEBTCHLASER (11)-page1.pdf,inv_00003,flour power,8,24.063,192.5,375991
Copy of ARPFIINVOEBTCHLASER (11)-page1.pdf,inv_00003,flour a p unbleached,1,21.582,21.58,375991
Copy of ARPFIINVOEBTCHLASER (11)-page1.pdf,inv_00003,flour medium rye,1,42.8,42.8,375991
Copy of ARPFIINVOEBTCHLASER (11)-page1.pdf,inv_00003,cornmeal yellow fine,1,25.861,25.86,375991
Copy of ARPFIINVOEBTCHLASER (11)-page1.pdf,inv_00003,yeast fresh,1,54.62,54.62,375991
Copy of ARPFIINVOEBTCHLASER (11)-page1.pdf,inv_00003,salt kosher coarse,1,71.658,71.66,375991
Copy of ARPFIINVOEBTCHLASER (11)-page1.pdf,inv_00003,glove nitrile large,1,29.774,29.77,375991
Copy of ARPFIINVOEBTCHLASER (11)-page1.pdf,inv_00003,eggs liquid,0.5,100.35,50.18,375991
Copy of ARPFIINVOEBTCHLASER (11)-page2.pdf,inv_00004,EGGS LIQUID,1,100.35,100.35,376063
Copy of ARPFIINVOEBTCHLASER (11)-page3.jpg,inv_00005,eggs liquid,1,100.35,100.35,376173
Copy of ARPFIINVOEBTCHLASER (11)-page3.pdf,inv_00006,eggs liquid,1,100.35,100.35,376173
Copy of ARPFIINVOEBTCHLASER (11)-page4.pdf,inv_00007,yeast instant red lbl saf,1,133.42,133.42,376172
